article_number,article_label,article_url,image_number,image_role,block_index,gallery_index,image_id,page_variant_url,orig_url,file_path,orig_format,orig_width,orig_height,actual_format,actual_width,actual_height,byte_size,sha256,download_status,exception_note,duplicate_of,primary_class,graphic_kind,graphic_kinds,scene_tags,scene_description,motion_cues,risk_notes
01,Level Group — Брать ипотеку в II половине 2026 года? Отвечают эксперты,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,01,cover,,,6a048df5952e1f1e50d6b5d0,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a048ddca495b52c9d873940_6a048df5952e1f1e50d6b5d0/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a048ddca495b52c9d873940_6a048df5952e1f1e50d6b5d0/orig,PROMOPAGES-live-images-20260813-v1/articles/01-level-ipoteka-2026/01.png,PNG,1516,845,PNG,1516,845,2394900,e718914a24cd86ae85b722b646353501f41e1b140e82b60bd17b8e5be27617f1,ok,,,,,,,,,
01,Level Group — Брать ипотеку в II половине 2026 года? Отвечают эксперты,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,02,article_image,5,,6a758f14619248122c619d01,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a048ddca495b52c9d873940_6a758f14619248122c619d01/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a048ddca495b52c9d873940_6a758f14619248122c619d01/orig,PROMOPAGES-live-images-20260813-v1/articles/01-level-ipoteka-2026/02.jpeg,JPEG,1748,1097,JPEG,1748,1097,253331,276ccb24f9252b1739eec9d75b443918b5ac496bb14f2d14a91c714fb960fe51,ok,,,,,,,,,
01,Level Group — Брать ипотеку в II половине 2026 года? Отвечают эксперты,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,03,article_image,10,,6a758f8954e1ec2084a0afea,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_6a048ddca495b52c9d873940_6a758f8954e1ec2084a0afea/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_6a048ddca495b52c9d873940_6a758f8954e1ec2084a0afea/orig,PROMOPAGES-live-images-20260813-v1/articles/01-level-ipoteka-2026/03.jpeg,JPEG,1444,978,JPEG,1444,978,163276,2c30e030f490d73dd6ba223ea0edd8737395efd971b27be9ab378540c6f009b2,ok,,,,,,,,,
01,Level Group — Брать ипотеку в II половине 2026 года? Отвечают эксперты,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,04,article_image,27,,6a049156a495b52c9d87cb75,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a048ddca495b52c9d873940_6a049156a495b52c9d87cb75/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a048ddca495b52c9d873940_6a049156a495b52c9d87cb75/orig,PROMOPAGES-live-images-20260813-v1/articles/01-level-ipoteka-2026/04.jpeg,JPEG,1920,1023,JPEG,1920,1023,758967,e65e115579ed3143be9ee01f93bcb4f3cf68bf48ed58be9834c84babd98fcd49,ok,,,,,,,,,
02,Банки.ру — В каких банках можно выгодно купить доллар?,https://banki.promo.page/save/v-kakih-bankah-mojno-vygodno-kupit-dollar-6a4f5fe924801975680d9be5_0_0,01,article_image,2,,6a4f718952e3ce75a3110deb,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_6a4f5fe924801975680d9be5_6a4f718952e3ce75a3110deb/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_6a4f5fe924801975680d9be5_6a4f718952e3ce75a3110deb/orig,PROMOPAGES-live-images-20260813-v1/articles/02-banki-vygodno-kupit-dollar/01.jpeg,JPEG,2000,1125,JPEG,2000,1125,818591,82f180a2e7ec64bbf46ba4089cef8494109c5960df2d89206e8faf570dbf3a65,ok,,,,,,,,,
